,date,transactions,block_size,sent_addresses,difficulty,hashrate,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,market_cap,av_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top_100_percent,fee_reward,full_name,coin
0,2009/01/03,null,204,,1,null,,,,,,,,,,,null,null,,bitcoin,btc
1,2009/01/04,null,null,,null,null,,,,,,,,,,,null,null,,bitcoin,btc
2,2009/01/05,null,null,,null,null,,,,,,,,,,,null,null,,bitcoin,btc
3,2009/01/06,null,null,,null,null,,,,,,,,,,,null,null,,bitcoin,btc
4,2009/01/07,null,null,,null,null,,,,,,,,,,,null,null,,bitcoin,btc
5,2009/01/08,null,null,,null,null,,,,,,,,,,,null,null,,bitcoin,btc
6,2009/01/09,null,134,1,1,12576322,,,,,102.857,,,,,,14,100,,bitcoin,btc
7,2009/01/10,null,134.23,null,1,9378233,,,,,23.607,,,,,,61,100,,bitcoin,btc
8,2009/01/11,null,134.409,1,1,4857511,,,,,15.484,,,,,,93,59.524,,bitcoin,btc
9,2009/01/12,7,153.372,7,1,4567766,,,,,15.319,,,,,,102,38.168,,bitcoin,btc
10,2009/01/13,null,134.667,10,1,5654593,,,,,11.707,,,,,,123,25.974,,bitcoin,btc
11,2009/01/14,1,138.194,20,1,6206668,,,,,11.163,,,,,,133,19.498,,bitcoin,btc
12,2009/01/15,8,157.579,18,1,6365454,,,,,11.429,,,,,,140,16.284,,bitcoin,btc
13,2009/01/16,2,139.87,16,1,6070043,,,,,13.333,,,,,,114,14.201,,bitcoin,btc
14,2009/01/17,null,134.853,18,1,5240736,,,,,13.211,,,,,,109,12.394,,bitcoin,btc
15,2009/01/18,1,138.944,16,1,5190081,,,,,13.458,,,,,,111,11.226,,bitcoin,btc
16,2009/01/19,2,151.896,22,1,5762472,,,,,12.522,,,,,,133,11.373,,bitcoin,btc
17,2009/01/20,1,143.728,21,1,5793593,,,,,12.632,,,,,,123,10.873,,bitcoin,btc
18,2009/01/21,1,137.99,22,1,5559411,,,,,14.118,,,,,,105,10.094,,bitcoin,btc
19,2009/01/22,1,147.747,12,1,4120719,,,,,15.824,,,,,,102,10.153,,bitcoin,btc
20,2009/01/23,2,148.238,18,1,3518417,,,,,17.143,,,,,,95,10.117,,bitcoin,btc
21,2009/01/24,1,141.06,22,1,8393223,,,,,7.164,,,,,,212,9.439,,bitcoin,btc
22,2009/01/25,1,136,14,1,9962644,,,,,7.539,,,,,,193,8.47,,bitcoin,btc
23,2009/01/26,1,158.948,17,1,7689965,,,,,15,,,,,,117,9.077,,bitcoin,btc
24,2009/01/27,1,139.309,8,1,4617016,,,,,14.845,,,,,,101,8.745,,bitcoin,btc
25,2009/01/28,null,134.652,23,1,4962996,,,,,12.857,,,,,,112,8.293,,bitcoin,btc
26,2009/01/29,1,146.256,24,1,5795924,,,,,11.901,,,,,,134,8.379,,bitcoin,btc
27,2009/01/30,null,134.872,23,1,6240808,,,,,12.308,,,,,,117,7.972,,bitcoin,btc
28,2009/01/31,1,151.464,36,1,6051994,,,,,10.435,,,,,,159,8.286,,bitcoin,btc
29,2009/02/01,1,137.204,31,1,6190608,,,,,12.743,,,,,,116,7.971,,bitcoin,btc
30,2009/02/02,1,136.094,37,1,6153545,,,,,11.25,,,,,,130,7.605,,bitcoin,btc
31,2009/02/03,16,167.496,50,1,6704449,,,,,10.36,,,,,,154,7.258,,bitcoin,btc
32,2009/02/04,null,134.739,26,1,6346531,,,,,12.101,,,,,,119,6.974,,bitcoin,btc
33,2009/02/05,null,134.722,34,1,6048969,,,,,11.429,,,,,,126,6.696,,bitcoin,btc
34,2009/02/06,null,134.836,19,1,6295545,,,,,11.803,,,,,,122,6.448,,bitcoin,btc
35,2009/02/07,4,159.31,32,1,6330966,,,,,11.163,,,,,,156,6.789,,bitcoin,btc
36,2009/02/08,1,136.576,46,1,6434968,,,,,10.909,,,,,,134,6.536,,bitcoin,btc
37,2009/02/09,1,172.604,34,1,6421922,,,,,10.746,,,,,,179,7.493,,bitcoin,btc
38,2009/02/10,null,134.667,18,1,6511267,,,,,12,,,,,,120,7.256,,bitcoin,btc
39,2009/02/11,2,148.128,27,1,6460281,,,,,10.827,,,,,,147,7.24,,bitcoin,btc
40,2009/02/12,null,134.874,22,1,6046361,,,,,12.101,,,,,,119,7.027,,bitcoin,btc
41,2009/02/13,null,134.903,27,1,6055061,,,,,11.613,,,,,,124,6.819,,bitcoin,btc
42,2009/02/14,null,134.787,29,1,6655610,,,,,10.588,,,,,,136,6.604,,bitcoin,btc
43,2009/02/15,3,148.383,32,1,6358856,,,,,11.25,,,,,,142,6.639,,bitcoin,btc
44,2009/02/16,1,163.172,26,1,6230951,,,,,11.803,,,,,,153,7.118,,bitcoin,btc
45,2009/02/17,null,134.897,27,1,5876537,,,,,12.308,,,,,,117,6.941,,bitcoin,btc
46,2009/02/18,null,134.941,23,1,5957088,,,,,12.203,,,,,,118,6.77,,bitcoin,btc
47,2009/02/19,1,150.048,37,1,5943972,,,,,11.613,,,,,,141,6.925,,bitcoin,btc
48,2009/02/20,null,134.852,29,1,6302263,,,,,11.803,,,,,,122,6.757,,bitcoin,btc
49,2009/02/21,null,134.965,22,1,5624662,,,,,12.632,,,,,,114,6.608,,bitcoin,btc
50,2009/02/22,4,147.545,28,1,6022206,,,,,11.901,,,,,,133,6.589,,bitcoin,btc
51,2009/02/23,null,134.991,22,1,5531524,,,,,13.333,,,,,,108,6.457,,bitcoin,btc
52,2009/02/24,null,134.934,16,1,5457302,,,,,13.585,,,,,,106,6.333,,bitcoin,btc
53,2009/02/25,null,134.867,16,1,5346698,,,,,13.714,,,,,,105,6.214,,bitcoin,btc
54,2009/02/26,null,134.963,14,1,5036662,,,,,13.458,,,,,,107,6.097,,bitcoin,btc
55,2009/02/27,1,170.8,26,1,5729494,,,,,12.522,,,,,,152,6.595,,bitcoin,btc
56,2009/02/28,1,143.525,8,1,5316849,,,,,14.545,,,,,,107,6.603,,bitcoin,btc
57,2009/03/01,null,134.952,16,1,5054096,,,,,13.714,,,,,,105,6.488,,bitcoin,btc
58,2009/03/02,null,134.963,15,1,5331702,,,,,13.333,,,,,,108,6.374,,bitcoin,btc
59,2009/03/03,2,144.429,17,1,5226712,,,,,13.714,,,,,,114,6.395,,bitcoin,btc
60,2009/03/04,2,163.712,22,1,5294369,,,,,13.846,,,,,,130,6.668,,bitcoin,btc
61,2009/03/05,1,143.411,23,1,5166785,,,,,12.857,,,,,,121,6.677,,bitcoin,btc
62,2009/03/06,null,134.923,31,1,5859262,,,,,12.308,,,,,,117,6.558,,bitcoin,btc
63,2009/03/07,null,134.972,25,1,5644853,,,,,13.211,,,,,,109,6.451,,bitcoin,btc
64,2009/03/08,3,162.591,19,1,5561590,,,,,12.522,,,,,,142,6.695,,bitcoin,btc
65,2009/03/09,null,134.713,21,1,5735349,,,,,13.333,,,,,,108,6.59,,bitcoin,btc
66,2009/03/10,null,134.972,21,1,5209928,,,,,13.458,,,,,,107,6.489,,bitcoin,btc
67,2009/03/11,null,134.886,25,1,5454076,,,,,12.632,,,,,,114,6.386,,bitcoin,btc
68,2009/03/12,1,138.534,30,1,5725069,,,,,12.203,,,,,,122,6.309,,bitcoin,btc
69,2009/03/13,1,148.389,14,1,5657424,,,,,12.743,,,,,,127,6.389,,bitcoin,btc
70,2009/03/14,null,134.791,24,1,5678662,,,,,13.091,,,,,,110,6.295,,bitcoin,btc
71,2009/03/15,null,134.967,28,1,5783981,,,,,11.707,,,,,,123,6.193,,bitcoin,btc
72,2009/03/16,1,180.512,28,1,6164511,,,,,11.901,,,,,,170,6.718,,bitcoin,btc
73,2009/03/17,null,134.965,24,1,5863375,,,,,12.632,,,,,,114,6.62,,bitcoin,btc
74,2009/03/18,2,149.711,16,1,5612209,,,,,12.632,,,,,,129,6.702,,bitcoin,btc
75,2009/03/19,null,134.787,26,1,5959575,,,,,11.803,,,,,,122,6.6,,bitcoin,btc
76,2009/03/20,1,146.856,27,1,6034212,,,,,12.203,,,,,,131,6.652,,bitcoin,btc
77,2009/03/21,null,134.88,26,1,5293010,,,,,28.8,,,,,,50,6.611,,bitcoin,btc
78,2009/03/22,2,146.126,33,1,3769984,,,,,12.101,,,,,,131,6.649,,bitcoin,btc
79,2009/03/23,null,134.923,30,1,6360511,,,,,11.077,,,,,,130,6.547,,bitcoin,btc
80,2009/03/24,null,134.981,17,1,5685246,,,,,13.714,,,,,,105,6.467,,bitcoin,btc
81,2009/03/25,null,134.786,29,1,5682962,,,,,12.308,,,,,,117,6.38,,bitcoin,btc
82,2009/03/26,1,162.607,25,1,5763023,,,,,12.308,,,,,,146,6.613,,bitcoin,btc
83,2009/03/27,null,134.953,22,1,5567742,,,,,13.585,,,,,,106,6.534,,bitcoin,btc
84,2009/03/28,3,155.235,28,1,5605066,,,,,12.101,,,,,,140,6.669,,bitcoin,btc
85,2009/03/29,null,134.966,25,1,5563060,,,,,12.414,,,,,,116,6.585,,bitcoin,btc
86,2009/03/30,null,134.85,33,1,6174270,,,,,12,,,,,,120,6.5,,bitcoin,btc
87,2009/03/31,1,168.518,18,1,5736621,,,,,13.091,,,,,,143,6.764,,bitcoin,btc
88,2009/04/01,null,134.86,23,1,5430648,,,,,12.632,,,,,,114,6.683,,bitcoin,btc
89,2009/04/02,null,134.887,26,1,5955989,,,,,12.522,,,,,,115,6.603,,bitcoin,btc
90,2009/04/03,null,134.948,31,1,5594588,,,,,12.414,,,,,,116,6.525,,bitcoin,btc
91,2009/04/04,null,134.743,27,1,5601954,,,,,12.743,,,,,,113,6.45,,bitcoin,btc
92,2009/04/05,2,150.554,37,1,6248209,,,,,11.077,,,,,,148,6.536,,bitcoin,btc
93,2009/04/06,null,134.982,22,1,6073474,,,,,13.211,,,,,,109,6.465,,bitcoin,btc
94,2009/04/07,null,134.99,9,1,5094113,,,,,14.4,,,,,,100,6.402,,bitcoin,btc
95,2009/04/08,null,135,18,1,5105377,,,,,13.714,,,,,,105,6.337,,bitcoin,btc
96,2009/04/09,null,134.737,18,1,4926977,,,,,14.545,,,,,,99,6.276,,bitcoin,btc
97,2009/04/10,null,134.944,22,1,5064620,,,,,13.333,,,,,,108,6.212,,bitcoin,btc
98,2009/04/11,1,142.333,32,1,5914151,,,,,12,,,,,,128,6.198,,bitcoin,btc
99,2009/04/12,2,143.712,24,1,5859512,,,,,12.203,,,,,,127,6.195,,bitcoin,btc
100,2009/04/13,1,136.965,27,1,5825783,,,,,12.522,,,,,,117,6.129,,bitcoin,btc
101,2009/04/14,null,134.952,35,1,6041215,,,,,11.613,,,,,,124,6.06,,bitcoin,btc
102,2009/04/15,null,134.743,22,1,5699780,,,,,12.743,,,,,,113,5.998,,bitcoin,btc
