,date,transactions,block_size,sent_addresses,difficulty,hashrate,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,market_cap,av_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top_100_percent,fee_reward,full_name,coin
0,2013/12/06,null,143,,0.000244,null,,,,,0.1,,,,,null,,,,dogecoin,doge
1,2013/12/07,null,null,,null,null,,,,,null,,,,,null,,,,dogecoin,doge
2,2013/12/08,4665,605.656,6475,0.494,111278427,,,,,0.579,,,,,0.0475,,,,dogecoin,doge
3,2013/12/09,9339,1727,10396,2.377,223427503,,,,,0.944,,,,,0.194,,,,dogecoin,doge
4,2013/12/10,9450,2016,11119,3.362,253575944,,,,,1.016,,,,,0.403,,,,dogecoin,doge
5,2013/12/11,28951,5273,36438,5.093,388696972,,,,,0.914,,,,,0.529,,,,dogecoin,doge
6,2013/12/12,44036,9200,58395,7.277,548003007,,,,,0.986,,,,,0.587,,,,dogecoin,doge
7,2013/12/13,50657,9288,60279,9.754,735544542,,,,,0.906,,,,,0.565,,,,dogecoin,doge
8,2013/12/14,80424,15676,91513,17.839,1407716274,,,,,0.926,,,,,0.817,,,,dogecoin,doge
9,2013/12/15,128955,24304,143051,36.863,2977809031,,,,,0.862,,,,,2.211,,,,dogecoin,doge
10,2013/12/16,94694,19576,114113,81.524,6584761386,,,,,0.932,,,,,2.597,,,,dogecoin,doge
11,2013/12/17,92528,18434,110229,107.799,8079576620,,,,,0.997,,,,,3.092,,,,dogecoin,doge
12,2013/12/18,95216,19470,114624,135.952,10182754938,34505,6740768,2.59E-5,4.75E-8,0.965,3838019,70.801,2.175,,4.479,,,0.000712,dogecoin,doge
13,2013/12/19,192523,38381,221646,215.997,16702882497,39864,23854998,2.1E-5,8.63E-8,0.911,7612064,123.919,7.308,,6.584,,,0.000613,dogecoin,doge
14,2013/12/20,199950,41562,228692,332.268,25500906523,25084,37204448,5.96E-6,8.43E-8,0.964,8086395,186.073,22.666,,5.892,,,0.000188,dogecoin,doge
15,2013/12/21,167414,34889,192635,349.595,25156657682,12210,17787898,4.65E-6,4.46E-8,1.016,4614085,106.252,36.492,,5.036,,,0.000242,dogecoin,doge
16,2013/12/22,158224,32674,182914,327.981,23341008144,10882,13328044,3.08E-6,3.51E-8,1.034,3884736,84.236,39.079,,4.129,,,0.0002,dogecoin,doge
17,2013/12/23,149008,28187,174162,321.196,23006912340,12842,16791592,3.33E-6,4.12E-8,0.973,4858318,112.691,51.654,,3.66,,,0.000166,dogecoin,doge
18,2013/12/24,126443,26594,152165,398.556,29816914899,16538,21605025,5.84E-6,6.66E-8,0.988,8330438,170.882,66.58,,3.999,,,0.000154,dogecoin,doge
19,2013/12/25,131133,26803,154702,441.602,32366673313,13822,21732619,4.0E-6,6.04E-8,0.98,7993565,165.732,76.33,,2.821,,,0.00012,dogecoin,doge
20,2013/12/26,125828,47779,148976,431.826,30861828226,13500,18478286,6.87E-5,5.76E-8,1.008,8045084,146.858,63.052,,4.069,,,0.00213,dogecoin,doge
21,2013/12/27,133542,27429,156247,426.649,30144525745,12620,16788804,0.000197,5.3E-8,1.049,7757117,125.726,37.731,,3.255,,,0.00735,dogecoin,doge
22,2013/12/28,113776,21941,133485,437.552,31504996442,11241,14777554,0.000168,4.83E-8,0.997,7420658,129.886,73.052,,2.561,,,0.00557,dogecoin,doge
23,2013/12/29,116612,23135,138177,385.165,27142534161,12012,12323131,0.000145,4.26E-8,1.012,6850440,105.677,60.842,,2.356,,,0.00561,dogecoin,doge
24,2013/12/30,122836,23802,142051,364.305,25913671354,11840,12986748,0.000206,4.16E-8,1.02,6988276,105.729,64.16,,1.978,,,0.00868,dogecoin,doge
25,2013/12/31,108639,21103,126632,345.961,24741770888,16360,12427030,0.000283,4.19E-8,1.013,7330703,114.391,73.373,,2.07,,,0.0106,dogecoin,doge
26,2014/01/01,110500,20847,128194,357.264,25950661707,12889,13567500,0.000228,4.29E-6,0.991,7702924,122.79,68.363,,2.195,,,0.00813,dogecoin,doge
27,2014/01/02,112216,22749,130255,360.239,25725201815,10171,11156717,0.000232,0.000369,1.017,7003200,99.429,57.654,,2.464,,,0.0103,dogecoin,doge
28,2014/01/03,111309,21936,127869,330.871,23584248278,13629,10697948,0.000256,0.000317,1.001,6225748,96.113,53.609,,2.309,,,0.013,dogecoin,doge
29,2014/01/04,111888,23472,129117,298.35,20812671008,10064,9108800,0.000177,0.000278,1.024,5661463,81.421,51.385,,1.961,,,0.0106,dogecoin,doge
30,2014/01/05,92521,19021,106768,279.247,19692107867,18746,8517426,0.000339,0.00027,1.026,5680505,92.11,63.898,,2.155,,,0.0166,dogecoin,doge
31,2014/01/06,93503,19448,107697,269.963,19248589059,15051,7028289,0.000278,0.00025,1.047,5438203,75.193,51.22,,2.078,,,0.015,dogecoin,doge
32,2014/01/07,93175,18276,107565,258.51,18148238665,8819,7099742,0.00015,0.000243,1.008,5458110,76.23,50.081,,1.857,,,0.00819,dogecoin,doge
33,2014/01/08,86764,17651,100425,256.552,18458998738,9672,5770186,0.000161,0.00021,1.035,4850704,66.532,44.67,,1.759,,,0.00991,dogecoin,doge
34,2014/01/09,91501,18820,105230,267.259,19205117787,11375,7957428,0.000221,0.000239,0.95,5698324,86.995,50.813,,1.748,,,0.0115,dogecoin,doge
35,2014/01/10,96897,19481,112187,326.237,24125182878,8732,9535324,0.000232,0.000323,0.989,7934826,98.444,56.634,,2.096,,,0.0101,dogecoin,doge
36,2014/01/11,96967,20633,113401,406.817,30315376315,6104,11871073,0.000188,0.000383,0.993,9678369,122.472,74.096,,2.175,,,0.0068,dogecoin,doge
37,2014/01/12,89093,18992,104652,408.277,29035360365,6435,10944217,0.000322,0.00033,1.072,8586269,122.922,67.752,,1.429,,,0.013,dogecoin,doge
38,2014/01/13,93710,19794,110032,371.906,25705807387,17269,9784221,0.000766,0.000291,1.012,7748431,104.434,60.756,,1.721,,,0.035,dogecoin,doge
39,2014/01/14,100358,19258,116974,363.601,25977555362,8470,11531277,0.000335,0.000337,0.97,9235265,114.952,72.424,,3.022,,,0.0138,dogecoin,doge
40,2014/01/15,99304,20576,120487,445.971,33314028280,8754,22852664,0.000468,0.000401,0.963,11268824,230.176,87.552,,2.939,,,0.0156,dogecoin,doge
41,2014/01/16,88080,17672,106700,470.053,33854992634,8089,16922293,0.00044,0.000386,1.021,11133782,192.24,84.395,,2.744,,,0.0145,dogecoin,doge
42,2014/01/17,113775,21419,132609,509.309,37288360764,17252,18580852,0.00151,0.000407,0.982,12029775,163.596,91.123,,2.115,,,0.0563,dogecoin,doge
43,2014/01/18,113071,24771,132080,596.825,44265490285,14537,24227582,0.00147,0.000544,0.986,16517989,214.464,105.279,,2.763,,,0.0418,dogecoin,doge
44,2014/01/19,125425,25598,145797,689.646,50883032046,9577,39422694,0.00108,0.000689,0.965,21402151,314.489,128.83,,3.468,,,0.0269,dogecoin,doge
45,2014/01/20,133169,31021,156008,787.9,57971005463,8651,73963543,0.000984,0.00112,0.974,35648300,555.746,179.96,,7.439,,,0.0162,dogecoin,doge
46,2014/01/21,150611,36598,180795,1009,75747261359,18042,417868177,0.0027,0.00185,0.956,60161432,2776,282.632,,9.448,,,0.0289,dogecoin,doge
47,2014/01/22,155733,31035,184136,1288,96062309125,12192,168225038,0.00218,0.00158,1.001,52790835,1081,197.393,,6.937,,,0.0308,dogecoin,doge
48,2014/01/23,134405,26575,161737,1188,84416437247,13637,230266718,0.00198,0.00167,1.003,56852879,1714,288.244,,6.445,,,0.0225,dogecoin,doge
49,2014/01/24,129611,26569,159056,1268,92727767870,13464,154428080,0.00193,0.00176,0.989,61054784,1205,355.067,,5.655,,,0.02,dogecoin,doge
50,2014/01/25,111903,26175,139659,1262,90398514456,12670,257392076,0.00188,0.00175,1.026,62221109,2310,381.373,,4.995,,,0.0174,dogecoin,doge
51,2014/01/26,121651,25057,148730,1306,92721149756,11619,238588146,0.00186,0.00156,1.026,56361216,1974,356.879,,4.368,,,0.0211,dogecoin,doge
52,2014/01/27,121347,24977,147365,1217,85643295202,14845,310307587,0.00202,0.00143,1.003,52785573,2569,357.189,,3.72,,,0.0241,dogecoin,doge
53,2014/01/28,105078,24747,135192,1156,82199905739,12203,436448800,0.00206,0.00129,1.056,48493629,4158,276.591,,4.213,,,0.0249,dogecoin,doge
54,2014/01/29,131621,27064,159486,1035,71689830164,12292,218058810,0.00134,0.0014,1.024,53495953,1657,318.202,,3.998,,,0.0177,dogecoin,doge
55,2014/01/30,128877,25000,158144,1142,83315415198,14473,198789130,0.00189,0.00146,0.951,56769085,1543,350.031,,4.464,,,0.0224,dogecoin,doge
56,2014/01/31,124719,24742,153865,1288,94166452612,12209,166960606,0.00147,0.00149,0.993,59287357,1339,332.922,,4.86,,,0.0171,dogecoin,doge
57,2014/02/01,117451,23739,144397,1390,101829631808,10782,90355790,0.00163,0.00144,1,58394817,772.702,346.275,,4.191,,,0.0188,dogecoin,doge
58,2014/02/02,117639,25788,143616,1392,98783690876,9914,115841988,0.00145,0.0013,1.043,53533244,994.546,358.415,,4.119,,,0.0192,dogecoin,doge
59,2014/02/03,111852,24054,137545,1254,88443383503,10410,180517774,0.00139,0.00126,1.024,52745145,1614,366.905,,3.561,,,0.0176,dogecoin,doge
60,2014/02/04,125052,25970,152926,1210,86708004536,10115,277970828,0.0012,0.00116,0.996,49590745,2223,297.344,,4.532,,,0.018,dogecoin,doge
61,2014/02/05,105693,23002,132256,1171,83723231429,10791,188821284,0.00159,0.00125,1.017,54216251,1787,268.541,,4.142,,,0.019,dogecoin,doge
62,2014/02/06,110259,22787,138556,1210,87268774495,11320,215791801,0.00175,0.00128,0.966,56453973,1958,290.334,,3.658,,,0.0205,dogecoin,doge
63,2014/02/07,111766,22900,138874,1408,103877187317,8098,147200877,0.00139,0.00115,1.01,51392211,1318,241.114,,4.191,,,0.0191,dogecoin,doge
64,2014/02/08,100784,21304,126758,1349,96161173323,8398,189421685,0.00151,0.00114,1,51824557,1881,265.656,,3.707,,,0.0188,dogecoin,doge
65,2014/02/09,104106,24958,127915,1431,103752574999,7890,179373098,0.00152,0.00127,1.021,58522943,1747,331.698,,3.851,,,0.0179,dogecoin,doge
66,2014/02/10,111971,26547,139314,1476,107167074167,9166,179019277,0.00169,0.00135,0.957,63248582,1607,359.892,,4.265,,,0.0189,dogecoin,doge
67,2014/02/11,112163,29646,141262,1620,118191030040,8844,201356255,0.0019,0.00167,1.026,79620386,1799,405.37,,4.702,,,0.0186,dogecoin,doge
68,2014/02/12,110865,26611,140496,1713,124700797089,10311,309937113,0.00223,0.0018,0.984,87017256,2800,399.587,,5.743,,,0.0191,dogecoin,doge
69,2014/02/13,105509,25152,135188,1745,125487649516,8933,114735897,0.0019,0.00163,1.007,80118503,1091,319.811,,4.506,,,0.0173,dogecoin,doge
70,2014/02/14,88712,24196,116201,1408,96431884692,5406,120091694,0.00165,0.00149,1.077,74271352,1357,174.23,,4.288,,,0.0265,dogecoin,doge
71,2014/02/15,79090,20235,101963,1106,75929729883,6246,75527182,0.00171,0.00144,1.019,72417476,959.221,144.341,,3.636,,,0.0271,dogecoin,doge
72,2014/02/16,78463,18650,101584,1040,74554630741,6831,48732629,0.00176,0.00138,1.008,69936152,622.909,129.527,,3.246,,,0.0288,dogecoin,doge
73,2014/02/17,48248,20034,64558,974.758,68519734171,7010,32713297,0.00182,0.00134,1.051,67951923,703.937,105.34,,3.803,,,0.0196,dogecoin,doge
74,2014/02/18,33281,18338,44564,1044,75846956923,6730,14460777,0.00166,0.00134,0.957,68859331,865.817,46.295,,3.779,,,0.0112,dogecoin,doge
75,2014/02/19,38962,25419,55199,1120,80567712042,6056,44724530,0.00168,0.00134,1.031,68959450,1171,47.548,,3.125,,,0.0144,dogecoin,doge
76,2014/02/20,34292,25525,51193,1128,80872479765,5548,45093171,0.00169,0.00122,1.023,63591709,1371,48.795,,2.981,,,0.014,dogecoin,doge
77,2014/02/21,37375,22867,56164,1085,77784107693,5535,57419002,0.00139,0.00115,1.004,60215483,1578,63.118,,2.956,,,0.0129,dogecoin,doge
78,2014/02/22,38011,15724,54996,1031,73332825599,6105,62839453,0.00113,0.00119,1.003,62487748,1666,82.532,,2.956,,,0.0102,dogecoin,doge
79,2014/02/23,46069,18107,65761,1013,72629221587,5972,71166571,0.00116,0.00117,1.004,62229114,1556,38.717,,2.907,,,0.0132,dogecoin,doge
80,2014/02/24,40587,22116,60017,1010,72086788766,5304,65478275,0.00146,0.0011,1.005,58584436,1630,65.696,,2.688,,,0.0161,dogecoin,doge
81,2014/02/25,39906,31533,57331,1058,76480452573,4291,61366098,0.00135,0.000909,1.023,48869403,1562,85.609,,3.417,,,0.0169,dogecoin,doge
82,2014/02/26,40267,14754,57025,1046,74945854876,5395,47104546,0.00101,0.0011,0.987,59526717,1180,47.968,,3.223,,,0.0103,dogecoin,doge
83,2014/02/27,39572,21297,55936,1076,77581823723,5376,46441813,0.00134,0.00113,1.014,61469014,1179,89.564,,2.809,,,0.0136,dogecoin,doge
84,2014/02/28,31639,19573,48467,1129,81461014446,4850,25402135,0.00129,0.00106,1.014,58324334,808.741,45.057,,3.028,,,0.0113,dogecoin,doge
85,2014/03/01,23128,16999,38535,1076,75614545286,4925,13230673,0.0013,0.00102,1.016,56167381,583.55,11.892,,2.442,,,0.0089,dogecoin,doge
86,2014/03/02,23188,8693,39428,1125,81427372839,4399,12536658,0.000723,0.000962,0.992,53425649,551.978,9.62,,2.379,,,0.00516,dogecoin,doge
87,2014/03/03,24686,24598,40375,1152,83178965203,4411,12064611,0.00158,0.001,0.999,55912482,514.443,12.207,,2.69,,,0.0113,dogecoin,doge
88,2014/03/04,26429,28872,42738,1088,77176482762,4867,11878455,0.00188,0.00105,1.026,58879258,479.95,12.55,,2.279,,,0.0143,dogecoin,doge
89,2014/03/05,23952,14413,40312,1117,80466975787,4617,12930630,0.00112,0.00103,0.999,58277527,584.518,10.907,,2.226,,,0.00783,dogecoin,doge
90,2014/03/06,23496,11239,37723,1178,84230070300,4296,10392912,0.00172,0.00101,1.04,57285587,458.472,10.053,,1.986,,,0.0122,dogecoin,doge
91,2014/03/07,27662,9904,42404,1090,76078884327,4531,14261566,0.000657,0.00093,1.02,53286421,535.16,15.235,,2.188,,,0.00578,dogecoin,doge
92,2014/03/08,20871,8708,34932,1073,76129295020,4204,8633110,0.000761,0.000862,1.034,49697283,432.379,8.624,,2.028,,,0.00549,dogecoin,doge
93,2014/03/09,20160,10069,34371,1028,70515066372,4405,8588815,0.00158,0.000851,1.021,49403523,445.117,9.074,,2.149,,,0.0111,dogecoin,doge
94,2014/03/10,21204,9623,35768,1129,78706135136,3747,6841365,0.000711,0.000816,1.06,47647351,351.082,10.421,,2.126,,,0.0056,dogecoin,doge
95,2014/03/11,20923,10437,35820,1046,72640594883,3647,10936754,0.000629,0.00074,1.034,43471935,553.234,10.002,,2.072,,,0.00544,dogecoin,doge
96,2014/03/12,22997,9820,39042,1048,75111848388,4188,21861135,0.000718,0.000903,0.984,53370462,962.921,13.548,,1.873,,,0.0054,dogecoin,doge
97,2014/03/13,20047,8636,35801,1133,82725833361,3950,13741672,0.000695,0.000869,0.991,51641252,713.48,10.941,,1.687,,,0.00463,dogecoin,doge
98,2014/03/14,19732,9247,34631,1092,74145517958,3962,12309635,0.000709,0.000866,1.066,51816577,680.159,8.669,,1.573,,,0.00513,dogecoin,doge
99,2014/03/15,17431,7736,32224,1091,77625742332,3803,6917345,0.000669,0.000839,1.016,50452151,483.388,12.167,,1.768,,,0.00436,dogecoin,doge
100,2014/03/16,18996,9101,32590,1050,75076365651,3887,10101405,0.00199,0.000819,1.035,49535817,592.865,8.595,,1.791,,,0.0141,dogecoin,doge
101,2014/03/17,17742,10888,31427,1034,72685804037,3767,7416860,0.000754,0.000775,1.023,47181234,450.576,9.434,,1.646,,,0.00537,dogecoin,doge
102,2014/03/18,19980,10447,34282,991.217,66970162350,3812,9238734,0.000646,0.000767,1.084,46941767,503.194,14.962,,1.79,,,0.00541,dogecoin,doge
