,date,transactions,block_size,sent_addresses,difficulty,hashrate,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,market_cap,av_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top_100_percent,fee_reward,full_name,coin
0,2015/07/30,null,643.886,,121335493201,11114186636,9.355,,,,0.208,190566400,,,,0.508,,,null,ethereum,eth
1,2015/07/31,null,582.028,,602941851594,51376122067,2.192,,,,0.21,224339125,,,,0.521,,,null,ethereum,eth
2,2015/08/01,null,575.164,,887254173531,57794141228,1.442,,,,0.272,216969413,,,,0.391,,,null,ethereum,eth
3,2015/08/02,null,580.879,,1020253707547,67898971177,1.022,,,,0.269,177423911,,,,0.441,,,null,ethereum,eth
4,2015/08/03,null,587.112,,1125837358847,74572708586,0.931,,,,0.273,179121767,,,,0.265,,,null,ethereum,eth
5,2015/08/04,null,586.97,,1216587344565,82043945495,0.9,,,,0.268,187215055,,,,0.309,,,null,ethereum,eth
6,2015/08/05,null,578.946,,1327837857487,86146792187,0.865,,,,0.275,195497241,,,,0.268,,,null,ethereum,eth
7,2015/08/06,null,583.671,,1380846362252,88328908216,0.971,,,,0.281,228808709,,,,0.336,,,null,ethereum,eth
8,2015/08/07,2050,632.625,784,1470838650662,95297747680,0.896,6244667,0.0566,0.00411,0.278,224702034,3046,45.711,,0.482,1214,,0.103,ethereum,eth
9,2015/08/08,2881,667.595,605,1586123528941,104892236891,0.453,23054509,0.0401,0.00211,0.274,122726602,8002,0.17,,0.358,959,,0.177,ethereum,eth
10,2015/08/09,1329,618.298,462,1709479787485,109676945486,0.197,927200,0.00844,0.000973,0.281,57547525,697.668,7.956,,0.391,817,,0.0428,ethereum,eth
11,2015/08/10,2037,631.186,821,1837695763268,120610799180,0.168,1219177,0.0112,0.000896,0.274,52799436,598.516,0.368,,0.334,1482,,0.0825,ethereum,eth
12,2015/08/11,4963,692.014,2132,2036390797503,134766886331,0.17,1216605,0.00187,0.000997,0.273,59277929,245.135,0.0393,,0.298,4204,,0.0388,ethereum,eth
