datetime,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
2021-01-01,257931.0,181787.0,55480.0,139.53,1136582.0,1634.0,6939.0,23.508,34595.0,3697.0,2669.0,0.5
2021-01-02,296960.0,223687.0,145059.0,243.368,1170839.0,1650.0,8771.0,31.453,57582.0,25652.0,69495.0,4.235
2021-01-03,358958.0,206058.0,141596.0,285.763,1234419.0,4064.0,19081.0,62.154,45008.0,41754.0,34797.0,3.678
2021-01-04,373561.0,163866.0,82412.0,235.192,1275169.0,6059.0,20818.0,74.619,39268.0,29734.0,18656.0,1.637
2021-01-05,353934.0,201248.0,68133.0,195.552,1258347.0,4016.0,12811.0,57.702,33127.0,28718.0,13411.0,1.182
2021-01-06,397207.0,186932.0,86631.0,222.708,1280434.0,5019.0,13526.0,61.167,31141.0,17134.0,16950.0,1.202
2021-01-07,401576.0,261365.0,125036.0,320.982,1298568.0,5311.0,11368.0,72.725,32604.0,16114.0,7147.0,1.177
2021-01-08,358378.0,279559.0,113560.0,326.105,1288953.0,5550.0,10659.0,71.069,29951.0,17867.0,6801.0,1.176
2021-01-09,321250.0,241819.0,84725.0,247.748,1231593.0,3203.0,9498.0,58.252,31095.0,10120.0,9789.0,1.36
2021-01-10,331706.0,215775.0,74964.0,243.614,1210603.0,3655.0,12392.0,65.735,29614.0,8339.0,6988.0,1.312
2021-01-11,333804.0,250597.0,109316.0,365.735,1280285.0,5703.0,14501.0,67.872,31669.0,22506.0,5357.0,0.74
2021-01-12,336479.0,228942.0,83880.0,273.205,1165508.0,3448.0,10584.0,51.256,29236.0,11731.0,5747.0,0.678
2021-01-13,319015.0,193450.0,91811.0,236.667,1126532.0,3699.0,9061.0,41.027,29926.0,6332.0,6529.0,0.66
2021-01-14,338662.0,219840.0,106170.0,240.816,1184534.0,6570.0,9367.0,43.761,32764.0,10936.0,5891.0,0.701
2021-01-15,343847.0,189178.0,70388.0,212.533,1227187.0,3665.0,16638.0,41.028,28008.0,14612.0,4112.0,0.672
2021-01-16,308314.0,203033.0,62189.0,175.92,1193339.0,2943.0,9089.0,38.199,26756.0,6606.0,5671.0,0.744
2021-01-17,271741.0,187109.0,59161.0,165.076,1133096.0,2626.0,9528.0,35.561,26497.0,6124.0,5517.0,0.734
2021-01-18,313671.0,205468.0,69189.0,155.218,1217953.0,2918.0,11562.0,35.412,26705.0,6684.0,4029.0,0.734
2021-01-19,324934.0,239498.0,70173.0,150.26,1252236.0,5997.0,30134.0,60.462,31596.0,5607.0,3223.0,0.731
2021-01-20,314668.0,227649.0,61204.0,149.039,1213930.0,6384.0,14704.0,47.659,29854.0,8496.0,2550.0,0.728
2021-01-21,290625.0,250620.0,79347.0,180.044,1178190.0,4713.0,14809.0,43.187,26966.0,5530.0,3392.0,0.721
2021-01-22,323727.0,196790.0,79570.0,196.04,1182794.0,4692.0,10661.0,43.862,29509.0,4613.0,2741.0,0.723
2021-01-23,308120.0,171672.0,52802.0,141.251,1140666.0,2692.0,9344.0,35.545,28193.0,3412.0,3178.0,0.618
2021-01-24,253832.0,192405.0,50983.0,130.118,1117744.0,3678.0,13600.0,37.319,26743.0,2874.0,3597.0,0.538
2021-01-25,308962.0,249678.0,63766.0,132.698,1207210.0,4685.0,18718.0,49.16,27319.0,9326.0,2493.0,0.825
2021-01-26,336774.0,162065.0,55828.0,128.351,1194595.0,4456.0,12601.0,41.407,26415.0,3852.0,2429.0,0.733
2021-01-27,323411.0,192242.0,60652.0,138.327,1140980.0,4479.0,13422.0,37.945,28047.0,16776.0,4134.0,0.807
2021-01-28,325001.0,213082.0,84933.0,141.191,1190834.0,3749.0,14092.0,37.449,67166.0,54603.0,254191.0,17.022
2021-01-29,340884.0,256129.0,200783.0,226.037,1293963.0,5561.0,14839.0,47.322,119197.0,165727.0,967142.0,80.702
2021-01-30,312177.0,213434.0,93578.0,159.379,1218241.0,3652.0,12159.0,41.272,55462.0,97017.0,242371.0,25.301
2021-01-31,290609.0,229107.0,68163.0,137.955,1244924.0,3244.0,9987.0,35.376,47657.0,78694.0,197198.0,14.171
2021-02-01,277460.0,227453.0,91439.0,136.247,1300451.0,3245.0,12505.0,35.376,44665.0,198517.0,159158.0,11.842
2021-02-02,367682.0,186519.0,80624.0,125.947,1302891.0,5544.0,23049.0,47.168,36539.0,127919.0,91446.0,6.815
2021-02-03,344275.0,219147.0,87809.0,133.67,1314906.0,5641.0,22956.0,64.856,32956.0,62986.0,114368.0,5.522
2021-02-04,367628.0,222573.0,76348.0,141.373,1309863.0,6373.0,18854.0,64.856,58221.0,78571.0,198288.0,20.515
2021-02-05,360372.0,204417.0,97415.0,124.247,1316904.0,5465.0,19705.0,56.602,38179.0,104423.0,118484.0,11.912
2021-02-06,333727.0,257125.0,107331.0,155.419,1227828.0,4761.0,16662.0,60.398,36689.0,56413.0,114255.0,11.606
2021-02-07,286208.0,276875.0,77886.0,135.048,1230638.0,3878.0,13541.0,53.763,60832.0,83343.0,248607.0,23.032
2021-02-08,335061.0,276328.0,212923.0,299.08,1275739.0,5229.0,15271.0,64.814,59781.0,190320.0,162763.0,23.742
2021-02-09,359994.0,440838.0,159207.0,346.188,1327544.0,4777.0,20495.0,70.707,48833.0,94710.0,113208.0,15.566
2021-02-10,340615.0,290471.0,124292.0,235.809,1320357.0,4801.0,15824.0,57.443,40831.0,108866.0,99551.0,11.081
2021-02-11,304610.0,361426.0,115390.0,219.731,1270521.0,4203.0,12603.0,53.03,38180.0,77313.0,65792.0,8.704
2021-02-12,343164.0,297144.0,122503.0,208.997,1290300.0,4624.0,14288.0,51.555,37435.0,126667.0,69513.0,7.738
2021-02-13,336467.0,214028.0,93740.0,174.751,1252364.0,3256.0,12381.0,53.002,33829.0,63791.0,48396.0,5.987
2021-02-14,295280.0,310113.0,99797.0,191.921,1206665.0,3265.0,12313.0,53.002,36175.0,98108.0,48482.0,6.814
2021-02-15,311170.0,365059.0,101777.0,193.373,1210374.0,4050.0,14203.0,47.113,33424.0,75583.0,49552.0,8.224
2021-02-16,296267.0,414566.0,147792.0,217.722,1217916.0,4125.0,18965.0,47.113,30364.0,58528.0,33026.0,6.348
2021-02-17,317528.0,332898.0,147890.0,247.785,1258503.0,4519.0,17016.0,51.045,32923.0,51005.0,40988.0,5.643
2021-02-18,316815.0,360742.0,116096.0,220.579,1298425.0,5534.0,17809.0,58.891,34121.0,53763.0,53428.0,5.643
2021-02-19,341433.0,367522.0,150898.0,242.065,1323618.0,4439.0,13291.0,60.848,31607.0,74284.0,34417.0,4.461
2021-02-20,320329.0,385518.0,118093.0,276.35,1337507.0,5279.0,17689.0,73.694,34144.0,70880.0,40616.0,4.578
2021-02-21,271504.0,374617.0,111638.0,242.073,1233518.0,3679.0,10868.0,58.946,31843.0,41769.0,42184.0,4.218
2021-02-22,285250.0,381885.0,110348.0,277.215,1312178.0,5781.0,15010.0,64.034,31119.0,54961.0,37410.0,4.439
2021-02-23,287757.0,375111.0,131691.0,351.403,1302882.0,8523.0,16288.0,73.232,29439.0,66468.0,27257.0,3.771
2021-02-24,357933.0,294958.0,103733.0,260.819,1285208.0,4977.0,12805.0,54.284,33488.0,85860.0,40922.0,4.203
2021-02-25,325960.0,354656.0,82520.0,207.33,1232758.0,4374.0,11221.0,42.212,31169.0,59343.0,28490.0,3.556
2021-02-26,306277.0,315004.0,81742.0,216.981,1236241.0,5043.0,12095.0,46.941,31759.0,62163.0,27511.0,2.731
2021-02-27,320627.0,246427.0,66315.0,174.644,1202432.0,3197.0,11924.0,40.279,31852.0,55951.0,20964.0,2.32
2021-02-28,254185.0,305361.0,73439.0,192.524,1179859.0,3979.0,11789.0,49.577,33251.0,25754.0,22312.0,2.304
2021-03-01,280355.0,302693.0,89756.0,188.287,1185925.0,4240.0,11864.0,41.68,36782.0,23926.0,26241.0,2.289
2021-03-02,338007.0,271594.0,103342.0,168.774,1240182.0,3933.0,11059.0,40.018,41484.0,34661.0,21596.0,2.667
2021-03-03,333250.0,283547.0,94227.0,160.235,1235048.0,3475.0,13188.0,38.032,46755.0,38241.0,17787.0,2.332
2021-03-04,289503.0,259089.0,81460.0,152.537,1234903.0,3904.0,10699.0,32.787,52428.0,29604.0,19234.0,2.212
2021-03-05,317631.0,267180.0,70950.0,146.861,1208640.0,3469.0,12095.0,31.562,56784.0,26818.0,18692.0,2.113
2021-03-06,287811.0,258644.0,40281.0,128.115,1160519.0,3745.0,9476.0,33.037,64315.0,26404.0,21096.0,2.153
2021-03-07,260593.0,410320.0,68935.0,137.583,1180104.0,7401.0,14052.0,36.563,72359.0,20392.0,23362.0,2.155
2021-03-08,291800.0,340933.0,81828.0,146.514,1216417.0,4633.0,13060.0,41.685,89574.0,26848.0,63249.0,3.536
2021-03-09,299542.0,351313.0,85849.0,171.991,1275347.0,4569.0,13572.0,43.804,83394.0,27962.0,43324.0,4.172
2021-03-10,344539.0,274143.0,81908.0,170.42,1256065.0,4411.0,12506.0,40.108,56539.0,27181.0,26312.0,2.918
2021-03-11,291113.0,325750.0,95858.0,157.426,1284767.0,4371.0,16141.0,38.678,32179.0,34381.0,24055.0,2.778
2021-03-12,320594.0,248755.0,104787.0,154.201,1325679.0,5266.0,18020.0,35.198,28157.0,38131.0,21029.0,2.692
2021-03-13,276929.0,254221.0,154790.0,207.626,1293352.0,3420.0,17682.0,45.987,28950.0,52588.0,31438.0,3.41
2021-03-14,307893.0,257249.0,102059.0,196.531,1277890.0,2565.0,14700.0,44.883,31081.0,41104.0,34955.0,4.527
2021-03-15,292083.0,256907.0,116563.0,176.729,1321388.0,4956.0,14038.0,36.802,29274.0,34072.0,21040.0,3.282
2021-03-16,319344.0,253280.0,99951.0,162.274,1308992.0,4217.0,15452.0,35.007,29281.0,31783.0,20633.0,3.319
2021-03-17,295983.0,276690.0,106258.0,157.531,1272298.0,4004.0,12552.0,33.496,38325.0,33220.0,21433.0,3.208
